"trial","phase","red_units","yellow_units","blue_units","water_units","frechet_error","best_so_far","measurement_note"
"1","space_filling_initialization","4","1","5","2","0.0324444444444444","0.0324444444444444",""
"2","space_filling_initialization","1","4","1","4","0.0361944444444444","0.0324444444444444",""
"3","space_filling_initialization","2","2","4","1","0.118472222222222","0.0324444444444444",""
"4","space_filling_initialization","3","1","2","4","0.0397521367521368","0.0324444444444444",""
"5","space_filling_initialization","2","3","5","1","0.0826111111111111","0.0324444444444444",""
"6","space_filling_initialization","1","1","2","5","0.133833333333333","0.0324444444444444",""
"7","space_filling_initialization","5","2","2","1","0.0986944444444444","0.0324444444444444",""
"8","space_filling_initialization","1","4","4","4","0.0871944444444444","0.0324444444444444",""
"9","model_based_selection","4","1","4","3","0.0356666666666666","0.0324444444444444",""
"10","model_based_selection","1","5","1","4","0.134722222222222","0.0324444444444444",""
"11","model_based_selection","1","4","1","2","0.141047008547008","0.0324444444444444",""
"12","model_based_selection","2","4","1","5","0.0911666666666666","0.0324444444444444",""
"13","model_based_selection","3","1","4","3","0.0631944444444444","0.0324444444444444",""
"14","model_based_selection","4","1","3","2","0.0244722222222222","0.0244722222222222",""
"15","model_based_selection","4","1","2","4","0.0424999999999999","0.0244722222222222",""
"16","model_based_selection","5","1","5","2","0.014524","0.014524","Corrected confirmatory remeasurement; original export value 0.022928774929."
"17","model_based_selection","5","1","3","2","0.0689999999999999","0.014524",""
"18","model_based_selection","5","1","4","3","0.0366388888888889","0.014524",""
"19","model_based_selection","5","1","4","2","0.0922777777777777","0.014524",""
"20","model_based_selection","5","3","4","1","0.067767094017094","0.014524",""
"21","model_based_selection","3","1","3","2","0.0754722222222221","0.014524",""
"22","model_based_selection","4","1","5","3","0.0489166666666666","0.014524",""
"23","model_based_selection","3","1","3","3","0.0555491452991453","0.014524",""
"24","model_based_selection","4","1","2","2","0.153694444444444","0.014524",""
